City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,lakes entrance,-37.8811,147.981,15.65,91,34,1.89,AU,1682082529
195,faanui,-16.4833,-151.75,28.11,79,100,8.18,PF,1682082531
196,kampot,10.6167,104.1833,29.03,77,99,3.47,KH,1682082532
197,waingapu,-9.6567,120.2641,24.71,86,34,2.98,ID,1682082533
198,mutare,-18.9707,32.6709,24.16,54,100,1.15,ZW,1682082534
199,taoudenni,22.6783,-3.9836,33.63,9,10,7.54,ML,1682082535
200,belmonte,-15.8631,-38.8828,24.34,93,100,5.05,BR,1682082536
201,makasar,-5.14,119.4221,27.03,83,40,2.57,ID,1682082538
202,tonj,7.2737,28.6822,40.68,15,69,2.98,SS,1682082539
203,mgandu,-5.95,34.1333,22.27,72,100,2.55,TZ,1682082540
204,itoman,26.1247,127.6694,22.43,81,75,8.75,JP,1682082542
205,ilulissat,69.2167,-51.1,-0.99,74,75,2.06,GL,1682082386
206,mancora,-4.1078,-81.0475,26.18,82,100,3.4,PE,1682082544
207,los llanos de aridane,28.6585,-17.9182,20.86,72,20,4.02,ES,1682082545
208,yakymivka,46.6897,35.1536,14.09,66,97,1.73,UA,1682082546
209,kjollefjord,70.9457,27.3465,0.03,69,100,6.17,NO,1682082547
210,radeberg,51.1167,13.9167,19.87,47,0,6.69,DE,1682082549
211,omsukchan,62.5333,155.8,-8.56,97,99,1.63,RU,1682082550
212,pangai,-19.8,-174.35,25.66,73,6,9.37,TO,1682082552
213,cherskiy,68.75,161.3,-6.97,99,94,1.19,RU,1682082554
214,diffa,13.3154,12.6113,42.03,8,98,0.45,NE,1682082556
215,terrace bay,48.7834,-87.1,0.82,98,100,4.22,CA,1682082558
216,ulladulla,-35.35,150.4667,8.2,79,3,2.08,AU,1682082561
217,straumen,63.8709,11.2999,13.0,54,22,1.64,NO,1682082562
218,narsaq,60.9167,-46.05,4.12,77,100,2.18,GL,1682082563
219,penedo,-10.2903,-36.5864,32.0,48,6,5.11,BR,1682082564
220,pucallpa,-8.3791,-74.5539,24.02,73,75,3.09,PE,1682082565
221,sao felix do xingu,-6.6447,-51.995,27.88,75,16,0.74,BR,1682082461
222,ikryanoye,46.0932,47.7308,20.57,42,94,8.7,RU,1682082568
223,tasiilaq,65.6145,-37.6368,1.09,70,89,1.26,GL,1682082569
224,san rafael,-34.6177,-68.3301,18.51,36,100,2.16,AR,1682082571
225,khandyga,62.6667,135.6,-5.66,96,100,1.32,RU,1682082572
226,tura,25.5198,90.2201,22.99,75,15,6.48,IN,1682082574
227,severnoye,56.3491,78.3619,3.33,63,81,3.16,RU,1682082575
228,poli,-3.3333,36.8,22.27,68,93,2.64,TZ,1682082576
229,keetmanshoop,-26.5833,18.1333,25.56,21,0,5.31,NA,1682082578
230,poronaysk,49.2167,143.1167,2.31,67,100,10.68,RU,1682082555
231,charleston,32.7766,-79.9309,23.1,88,0,3.09,US,1682082581
232,nhulunbuy,-12.2333,136.7667,27.34,83,100,5.66,AU,1682082582
233,malinovskiy,61.1953,62.8397,4.36,91,100,1.66,RU,1682082587
234,provideniya,64.3833,-173.3,-6.78,87,100,1.44,RU,1682082589
235,morros,-9.4467,-46.3003,27.91,67,7,1.95,BR,1682082504
236,torbay,47.6666,-52.7314,2.09,98,100,9.26,CA,1682082593
237,marrakesh,31.6315,-8.0083,23.04,46,20,3.6,MA,1682082594
238,staraya russa,57.9944,31.3608,14.28,54,55,3.2,RU,1682082595
239,dubbo,-32.25,148.6167,13.07,67,0,3.6,AU,1682082596
240,chara,56.9064,118.2631,-7.07,79,100,1.0,RU,1682082597
241,umea,63.8284,20.2597,13.96,44,0,4.12,SE,1682082599
242,leningradskiy,69.3833,178.4167,-9.73,86,42,1.58,RU,1682082600
243,fort morgan,40.2503,-103.8,1.82,47,0,9.77,US,1682082396
244,iqaluit,63.7506,-68.5145,-3.15,92,100,3.6,CA,1682082448
245,lagos,6.5833,3.75,34.18,55,100,3.89,NG,1682082386
246,bull savanna,17.8868,-77.5902,24.28,74,19,1.49,JM,1682082606
247,bengkulu,-3.8004,102.2655,26.47,86,100,1.54,ID,1682082608
248,lar,26.2039,83.9717,26.91,44,12,4.44,IN,1682082609
249,kourou,5.1552,-52.6478,29.03,93,100,3.64,GF,1682082610
250,saint-joseph,-21.3667,55.6167,27.48,79,48,2.64,RE,1682082611
251,hay river,60.8156,-115.7999,-0.87,82,92,2.15,CA,1682082613
252,atar,20.5169,-13.0499,31.2,14,100,2.23,MR,1682082614
253,pacific grove,36.6177,-121.9166,11.42,78,0,1.54,US,1682082615
254,cochrane,51.1834,-114.4687,-2.5,81,100,4.63,CA,1682082374
255,upata,8.0086,-62.3989,24.93,80,100,3.39,VE,1682082618
256,kyren,51.6828,102.1408,-5.59,62,83,0.2,RU,1682082619
257,oxbow,49.2333,-102.1676,-3.53,88,100,6.43,CA,1682082620
258,isangel,-19.55,169.2667,25.66,81,14,3.18,VU,1682082622
259,paulista,-7.9408,-34.8731,29.92,59,100,4.38,BR,1682082623
260,gwanda,-20.9333,29.0,31.61,16,83,1.31,ZW,1682082624
261,nome,64.5011,-165.4064,-9.94,85,0,0.0,US,1682082625
262,sola,-13.8833,167.55,27.96,75,19,4.34,VU,1682082626
263,bubaque,11.2833,-15.8333,24.65,73,100,3.21,GW,1682082628
264,san quintin,30.4833,-115.95,14.85,72,0,2.66,MX,1682082630
265,oktyabrskoye,43.0645,44.7417,15.08,63,75,5.0,RU,1682082632
266,rimouski,48.4488,-68.524,2.1,69,10,3.25,CA,1682082362
267,mahebourg,-20.4081,57.7,28.16,69,40,5.14,MU,1682082543
268,rio grande,-32.035,-52.0986,22.06,70,7,1.88,BR,1682082635
269,hobyo,5.3505,48.5268,30.34,64,69,6.1,SO,1682082636
270,ponta delgada,37.7333,-25.6667,16.4,67,40,9.26,PT,1682082638
271,arraial do cabo,-22.9661,-42.0278,24.92,61,40,7.2,BR,1682082565
272,guerrero negro,27.9769,-114.0611,13.75,75,0,1.44,MX,1682082640
273,arcachon,44.5875,-1.0519,23.01,30,0,2.06,FR,1682082641
274,gayny,60.3071,54.3241,9.53,49,100,3.61,RU,1682082642
275,alihe,50.5667,123.7167,-5.61,87,84,1.92,CN,1682082644
276,moroni,-11.7022,43.2551,28.13,79,14,1.72,KM,1682082433
277,ancud,-41.8697,-73.8203,12.68,90,100,1.86,CL,1682082646
278,donskoye,45.4552,41.9741,16.07,57,100,8.3,RU,1682082647
279,sovetskiy,61.3614,63.5842,3.02,98,100,1.55,RU,1682082648
280,gawler,-34.6,138.7333,16.65,86,0,2.12,AU,1682082649
281,nishihara,26.1842,127.7558,22.03,80,100,8.75,JP,1682082650
282,golpayegan,33.4537,50.2884,22.5,10,27,7.78,IR,1682082651
283,broken hill,-31.95,141.4333,15.23,56,0,4.4,AU,1682082654
284,manhattan,40.7834,-73.9662,15.89,70,0,4.63,US,1682082356
285,katsuura,35.1333,140.3,18.75,88,100,2.26,JP,1682082656
286,egvekinot,66.3167,-179.1667,-10.19,74,4,1.25,RU,1682082659
287,nantucket,41.2835,-70.0995,12.22,77,0,3.6,US,1682082661
288,virpur,23.1833,73.4833,35.42,17,35,4.16,IN,1682082508
289,itaperucu,-25.22,-49.3478,16.53,85,0,1.99,BR,1682082663
290,rundu,-17.9333,19.7667,30.44,28,100,1.84,NA,1682082664
291,saint anthony,45.0205,-93.218,2.84,85,100,6.69,US,1682082666
292,simpang,-1.2667,104.0833,24.9,94,93,1.33,ID,1682082667
293,geraldton,-28.7667,114.6,19.23,72,100,3.6,AU,1682082668
294,mogadishu,2.0371,45.3438,30.51,64,100,4.83,SO,1682082631
295,statesboro,32.4488,-81.7832,18.04,94,100,0.0,US,1682082670
296,castelo,-20.6036,-41.1847,20.01,83,100,0.83,BR,1682082671
297,iquique,-20.2208,-70.1431,22.02,67,20,2.63,CL,1682082437
298,vestmannaeyjar,63.4427,-20.2734,9.55,71,0,6.17,IS,1682082674
299,havelock,34.8791,-76.9013,22.19,79,75,1.79,US,1682082675
300,westport,41.1415,-73.3579,15.86,63,100,2.68,US,1682082462
301,kita,13.0349,-9.4895,39.51,12,79,2.19,ML,1682082678
302,ayia galini,35.1,24.6833,19.1,75,95,0.45,GR,1682082679
303,soverato,38.685,16.5499,21.97,62,58,3.07,IT,1682082680
304,bad hofgastein,47.1667,13.1,17.04,71,71,2.63,AT,1682082681
305,pemberton,50.3164,-122.8027,0.84,95,88,0.71,CA,1682082682
306,arman,59.7,150.1667,0.05,87,100,5.55,RU,1682082684
307,sitka,57.0531,-135.33,8.94,49,40,2.57,US,1682082685
308,altamira,-3.2033,-52.2064,27.17,80,68,1.96,BR,1682082423
309,moranbah,-22.0016,148.0466,20.48,74,0,4.86,AU,1682082687
310,zheleznodorozhnyy,55.7503,38.0042,17.1,32,6,4.23,RU,1682082688
311,mount isa,-20.7333,139.5,24.87,36,2,3.6,AU,1682082691
312,burns lake,54.2331,-125.7533,-1.21,98,100,0.87,CA,1682082692
313,chokurdakh,70.6333,147.9167,-2.73,96,89,3.75,RU,1682082693
314,palmer,42.1584,-72.3287,14.02,56,20,1.79,US,1682082694
315,labuhan,-6.8844,112.2051,26.91,84,73,3.92,ID,1682082695
316,grindavik,63.8424,-22.4338,7.26,76,75,6.69,IS,1682082696
317,hvide sande,56.0045,8.1294,13.26,44,0,5.82,DK,1682082698
318,caxito,-8.5785,13.6643,29.46,64,100,3.65,AO,1682082700
319,fairbanks,64.8378,-147.7164,1.57,78,40,2.06,US,1682082627
320,lompoc,34.6391,-120.4579,16.23,52,0,0.0,US,1682082410
321,cascais,38.6979,-9.4215,17.64,94,75,7.6,PT,1682082703
322,tilichiki,60.4667,166.1,-10.65,94,73,3.26,RU,1682082705
323,vilyuysk,63.7553,121.6247,-6.54,91,100,2.84,RU,1682082707
324,bardiyah,31.7561,25.0865,19.91,48,100,4.55,LY,1682082708
325,tarnogskiy gorodok,60.4997,43.5761,8.31,58,99,2.18,RU,1682082709
326,saldanha,-33.0117,17.9442,14.9,53,100,4.85,ZA,1682082710
327,gimli,50.6336,-96.9907,-1.87,84,100,9.64,CA,1682082711
328,constitucion,-35.3333,-72.4167,14.53,90,100,1.82,CL,1682082712
329,ternate,0.8,127.4,27.68,79,88,1.3,ID,1682082713
330,bilibino,68.0546,166.4372,-10.89,85,71,2.0,RU,1682082714
331,fortuna,40.5982,-124.1573,8.19,72,100,1.74,US,1682082715
332,sept-iles,50.2001,-66.3821,5.59,83,75,2.57,CA,1682082717
333,hasaki,35.7333,140.8333,18.45,80,100,9.01,JP,1682082718
334,praia,14.9215,-23.5087,26.3,53,75,6.17,CV,1682082719
335,goderich,43.7501,-81.7165,11.62,91,100,4.88,CA,1682082720
336,yafran,32.0633,12.5286,26.03,31,1,4.98,LY,1682082721
337,khani,41.9563,42.9566,10.76,84,87,1.28,GE,1682082497
338,zonguldak,41.25,31.8333,11.47,70,100,3.84,TR,1682082723
339,pareora,-44.4871,171.2132,11.77,97,72,1.03,NZ,1682082724
340,weatherford,32.7593,-97.7972,13.86,66,0,1.79,US,1682082725
341,necochea,-38.5473,-58.7368,16.25,47,100,7.78,AR,1682082561
342,grand gaube,-20.0064,57.6608,28.22,73,85,2.24,MU,1682082727
343,nilagiri,21.4582,86.7722,33.14,21,100,2.33,IN,1682082729
344,lock haven,41.137,-77.4469,19.09,72,6,1.01,US,1682082730
345,palencia,42.4167,-4.5,21.62,34,100,8.88,ES,1682082731
346,ust-uda,54.1742,103.0304,-2.39,42,73,1.1,RU,1682082733
347,luanda,-8.8368,13.2343,29.0,74,75,4.12,AO,1682082734
348,mount pleasant,32.7941,-79.8626,23.33,91,0,3.09,US,1682082511
349,shimoda,34.6667,138.95,16.72,84,100,2.42,JP,1682082736
350,linares,-35.85,-71.6,14.94,76,100,1.81,CL,1682082737
351,chapais,49.7834,-74.8492,-1.76,79,100,3.05,CA,1682082738
352,gresham,45.4982,-122.4315,8.69,93,75,1.79,US,1682082739
353,moerai,-22.4333,-151.3333,25.4,82,91,13.72,PF,1682082741
354,pisco,-13.7,-76.2167,22.03,83,100,1.54,PE,1682082742
355,launceston,-41.45,147.1667,13.97,92,78,4.63,AU,1682082506
356,bilma,18.6853,12.9164,39.04,7,2,1.68,NE,1682082744
357,lahad datu,5.0268,118.327,26.08,86,97,1.41,MY,1682082745
358,bethel,41.3712,-73.414,15.86,47,0,3.09,US,1682082746
359,araouane,18.9048,-3.5265,36.74,8,100,8.08,ML,1682082748
360,puerto escondido,15.85,-97.0667,25.46,83,0,0.0,MX,1682082568
361,ust-ordynskiy,52.805,104.7508,-3.24,44,24,0.41,RU,1682082750
362,ucluelet,48.9329,-125.5528,5.61,93,100,2.34,CA,1682082751
363,kawalu,-7.3817,108.2082,24.27,98,100,1.13,ID,1682082752
364,borba,-4.3878,-59.5939,26.69,92,100,1.04,BR,1682082753
365,acapulco,16.8634,-99.8901,25.9,78,40,2.06,MX,1682082754
366,kavaratti,10.5669,72.642,29.37,69,100,3.39,IN,1682082755
367,talnakh,69.4865,88.3972,-5.44,87,100,3.35,RU,1682082757
368,mahibadhoo,3.7833,72.9667,29.07,68,84,0.83,MV,1682082758
369,manokwari,-0.8667,134.0833,26.39,85,86,2.74,ID,1682082759
370,sorong,-0.8833,131.25,27.03,81,100,1.58,ID,1682082760
371,mount gambier,-37.8333,140.7667,13.26,85,55,0.57,AU,1682082763
372,ames,42.0347,-93.6199,5.49,67,100,6.69,US,1682082530
373,madang,-5.2246,145.7966,26.37,87,61,1.97,PG,1682082765
374,esperance,-33.8667,121.9,17.43,64,0,5.11,AU,1682082766
375,mosquera,4.7059,-74.2302,12.05,94,75,2.57,CO,1682082767
376,kamina,-8.7386,24.9906,26.89,59,100,3.0,CD,1682082768
377,kokoda,-8.8785,147.7407,24.61,98,93,0.62,PG,1682082769
378,port lincoln,-34.7333,135.8667,16.21,79,0,2.83,AU,1682082770
379,khor,47.8861,134.9464,2.12,96,100,2.19,RU,1682082772
380,puksoozero,62.5903,40.6066,3.51,96,100,2.4,RU,1682082774
381,carutapera,-1.195,-46.02,29.12,72,71,3.99,BR,1682082775
382,abu kamal,34.4506,40.9171,26.15,16,1,5.02,SY,1682082776
383,tigil,57.8,158.6667,-0.02,77,8,6.08,RU,1682082777
384,roebourne,-20.7833,117.1333,26.19,58,100,2.44,AU,1682082779
385,gorontalo,0.5412,123.0595,24.78,95,100,1.36,ID,1682082780
386,marsh harbour,26.5412,-77.0636,23.88,73,7,5.17,BS,1682082781
387,nytva,57.9404,55.334,10.94,34,100,1.91,RU,1682082782
388,biryusinsk,55.9634,97.8235,-1.6,91,98,2.49,RU,1682082784
389,inongo,-1.95,18.2667,22.48,94,100,4.72,CD,1682082785
390,uvat,59.1433,68.8953,7.41,75,100,4.09,RU,1682082786
391,eyl,7.9803,49.8164,30.06,63,100,5.64,SO,1682082788
392,betare oya,5.6,14.0833,30.48,48,100,1.57,CM,1682082789
393,kukmor,56.1855,50.8944,14.57,34,100,1.78,RU,1682082790
394,lata,40.1629,-8.3327,15.6,94,100,1.55,PT,1682082791
395,banjar,-8.19,114.9675,25.93,90,100,1.2,ID,1682082792
396,ust-tsilma,65.441,52.1498,1.12,100,100,2.33,RU,1682082793
397,namatanai,-3.6667,152.4333,26.63,83,71,4.16,PG,1682082794
398,pavlikeni,43.2428,25.3219,18.71,63,33,2.88,BG,1682082796
399,waipawa,-41.4122,175.5153,13.87,96,100,2.1,NZ,1682082797
400,fecamp,49.7579,0.3746,10.84,69,85,4.43,FR,1682082798
401,port-gentil,-0.7193,8.7815,23.98,94,75,1.03,GA,1682082799
402,pimentel,-6.8367,-79.9342,25.16,78,0,2.06,PE,1682082800
403,srivardhan,18.0333,73.0167,28.43,61,0,6.15,IN,1682082802
404,kirakira,-10.4544,161.9205,26.39,82,93,1.79,SB,1682082803
405,ayagoz,47.9714,80.4392,4.92,51,94,6.91,KZ,1682082804
406,kandry,54.5667,54.1167,14.52,36,100,4.59,RU,1682082805
407,sur,22.5667,59.5289,29.92,49,6,5.24,OM,1682082806
408,ligayan,4.6533,119.4706,29.1,69,4,3.17,PH,1682082807
409,dingle,10.9995,122.6711,27.28,80,96,0.71,PH,1682082808
410,tsumeb,-19.2333,17.7167,15.98,77,100,4.27,NA,1682082810
411,mutoko,-17.397,32.2268,27.23,34,90,2.5,ZW,1682082811
412,poum,-20.2333,164.0167,26.11,82,26,3.6,NC,1682082812
413,yizheng,24.6706,103.4296,21.72,25,1,4.0,CN,1682082813
414,ciechocinek,52.8791,18.7951,20.67,33,18,3.67,PL,1682082814
415,beloha,-25.1667,45.05,28.94,48,33,6.49,MG,1682082815
416,nuuk,64.1835,-51.7216,-1.66,93,100,1.54,GL,1682082816
417,petropavlovsk-kamchatskiy,53.0452,158.6483,2.1,64,98,13.74,RU,1682082817
418,abha,18.2164,42.5053,20.14,52,40,6.69,SA,1682082818
419,barentu,15.1139,37.5928,35.81,8,0,6.16,ER,1682082819
420,ciudad bolivar,8.1222,-63.5497,28.99,64,100,5.24,VE,1682082821
421,saint-francois,46.4154,3.9054,17.04,63,0,2.06,FR,1682082823
422,oda,35.1833,132.5,11.33,61,100,8.41,JP,1682082824
423,peniche,39.3558,-9.3811,15.04,95,100,3.86,PT,1682082825
424,shingu,33.7333,135.9833,16.57,79,100,3.27,JP,1682082827
425,chilca,-12.5211,-76.7372,22.13,83,100,1.73,PE,1682082829
426,moose factory,51.2585,-80.6094,-1.62,85,99,4.44,CA,1682082830
427,kenmare,51.8833,-9.5833,11.71,63,97,5.67,IE,1682082831
428,kununurra,-15.7667,128.7333,28.99,42,64,3.09,AU,1682082832
429,shakawe,-18.3667,21.85,32.32,22,100,1.22,BW,1682082833
430,mlonggo,-6.5333,110.7,26.57,85,100,3.65,ID,1682082835
431,birao,10.2849,22.7882,43.2,5,6,1.54,CF,1682082836
432,vardo,70.3705,31.1107,0.99,69,100,5.66,NO,1682082839
433,viedma,-40.8135,-62.9967,20.66,42,100,7.42,AR,1682082623
434,atambua,-9.1061,124.8925,21.25,87,100,2.35,ID,1682082841
435,eureka,40.8021,-124.1637,8.34,92,100,1.49,US,1682082638
436,netrakona,24.8833,90.7167,22.24,81,57,7.36,BD,1682082843
437,benghazi,32.1167,20.0667,25.49,35,100,7.12,LY,1682082845
438,sandy bay,-42.913,147.3532,16.94,63,75,4.63,AU,1682082846
439,oussouye,12.485,-16.5469,33.41,29,62,2.58,SN,1682082847
440,kissimmee,28.3047,-81.4167,23.97,76,20,2.57,US,1682082222
441,ushtobe,45.2514,77.9838,9.06,25,100,3.54,KZ,1682082849
442,saint george,37.1041,-113.5841,8.86,37,0,2.06,US,1682082741
443,husavik,66.0449,-17.3389,-0.01,86,100,6.41,IS,1682082852
444,puerto cabezas,14.0351,-83.3888,25.87,78,100,1.24,NI,1682082853
445,punta de piedra,7.6176,-71.4916,28.19,56,100,0.65,VE,1682082854
446,makakilo city,21.3469,-158.0858,22.23,91,100,2.57,US,1682082855
447,kpandu,6.9954,0.2931,31.42,56,38,1.36,GH,1682082856
448,komsomolskiy,40.4272,71.7189,22.4,18,12,3.09,UZ,1682082858
449,olinda,-8.0089,-34.8553,29.85,62,40,3.6,BR,1682082859
450,buchanan,5.8808,-10.0467,29.4,65,100,3.34,LR,1682082860
451,bani,18.2833,-70.3333,27.14,61,0,1.73,DO,1682082274
452,kumi,36.1136,128.336,11.1,48,4,1.49,KR,1682082863
453,mudgee,-32.5943,149.5871,9.88,95,0,2.01,AU,1682082864
454,roma,43.2128,-75.4557,20.05,54,0,5.14,US,1682082723
455,kasongo-lunda,-6.4667,16.8167,29.45,62,100,1.32,CD,1682082866
456,namibe,-15.1961,12.1522,29.08,60,91,5.9,AO,1682082868
457,kisangani,0.5167,25.2,26.32,86,100,2.26,CD,1682082869
458,half moon bay,37.4636,-122.4286,13.0,75,0,0.0,US,1682082870
459,havoysund,70.9963,24.6622,0.13,62,100,6.33,NO,1682082871
460,mana,5.6592,-53.7767,25.15,92,100,3.07,GF,1682082872
461,mbanza-ngungu,-5.25,14.8667,25.5,74,100,2.19,CD,1682082873
462,baykit,61.67,96.37,-3.06,95,100,1.63,RU,1682082790
463,kabare,-2.4683,28.8242,22.01,84,84,0.96,CD,1682082876
464,havre-saint-pierre,50.2334,-63.5986,4.0,73,10,3.9,CA,1682082877
465,zhangjiakou,40.81,114.8794,9.09,46,100,3.79,CN,1682082878
466,cap malheureux,-19.9842,57.6142,28.04,73,85,2.24,MU,1682082879
467,viesca,25.35,-102.8,20.84,19,88,1.31,MX,1682082826
